Efficiency,EMAIL,KNOWLEDGEBASE
10679.0,11,6
9600.0,11,20
10441.0,21,7
11200.0,29,3
9915.0,5,18
9710.0,19,15
9526.0,12,23
9820.0,4,25
10097.0,18,10
9800.0,24,14
11248.0,15,2
9449.0,17,24
11647.0,17,0
10663.0,9,7
11090.0,15,3
10335.0,3,13
10941.0,14,4
10200.0,1,17
9600.0,14,29
9805.0,21,13
9600.0,21,17
9708.0,29,18
10600.0,0,12
10664.0,12,6
11641.0,16,0
10065.0,4,16
10408.0,28,8
9510.0,18,29
11036.0,29,4
11146.0,1,7
11000.0,3,7
9524.0,12,23
9527.0,26,21
10423.0,21,7
10639.0,13,6
9600.0,24,19
9733.0,15,16
10000.0,5,16
10820.0,20,4
10507.0,5,10
9824.0,13,14
9813.0,4,25
11411.0,15,1
9454.0,16,26
9600.0,24,18
10086.0,3,16
9491.0,15,22
9859.0,26,13
9875.0,16,13
9736.0,15,16
11650.0,15,0
9499.0,17,29
11200.0,2,6
10600.0,20,6
9474.0,19,20
10000.0,1,24
11200.0,27,3
10000.0,2,28
11647.0,17,0
10096.0,1,19
10152.0,16,10
9494.0,14,26
11247.0,24,2
10800.0,2,9
9430.0,20,26
9506.0,22,21
10000.0,2,21
10600.0,20,6
10327.0,23,8
9600.0,25,20
9600.0,18,18
10600.0,29,7
10407.0,19,7
9824.0,4,25
11618.0,3,3
9467.0,16,26
10209.0,19,9
10011.0,18,11
9610.0,9,21
9675.0,10,19
9466.0,24,24
11282.0,1,6
9459.0,21,25
9692.0,23,16
10669.0,27,6
9906.0,21,12
9800.0,24,15
9701.0,20,15
9892.0,25,13
9600.0,29,23
9532.0,15,21
9600.0,28,28
10000.0,13,12
11456.0,14,1
10069.0,1,19
11647.0,24,0
10600.0,11,7
10076.0,0,23
10400.0,10,9
9528.0,24,28
